Organization ,pubs1990 ,pubs1991 ,pubs1992 ,pubs1993 ,pubs1994 ,pubs1995 ,pubs1996 ,pubs1997 ,pubs1998 ,pubs1999 ,pubs2000 ,pubs2001 ,pubs2002 ,pubs2003 ,pubs2004 ,pubs2005 ,pubs2006 ,pubs2007 ,pubs2008 ,pubs2009 ,pubs2010 ,pubs2011 ,pubs2012 ,pubs2013 ,pubs2014 ,pubs2015 ,pubs2016 ,pubs2017 ,pubs2018 
"Oregon, U. of - Eugene",1 ,0,1 ,0,0,0,1 ,2 ,2 ,2 ,2 ,1 ,1 ,3 ,2 ,0,1 ,0,2 ,3 ,2 ,0,2 ,1 ,1 ,1 ,4 ,3 ,2 
"Erasmus, U. of - Rotterdamn (EUR)",0,0,1 ,0,0,0,0,0,0,1 ,1 ,2 ,0,1 ,0,1 ,1 ,1 ,0,0,3 ,3 ,2 ,1 ,6 ,1 ,3 ,3 ,8 
Copenhagen Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,2 ,1 ,2 ,5 ,7 ,2 ,3 ,4 ,2 ,8 
Ecole Polytechique Federale de Lausanne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,3 ,4 ,4 ,5 ,1 ,6 ,4 ,7 ,3 
Nanyang Technological University,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,1 ,2 ,3 ,5 ,2 ,4 ,3 ,1 ,4 ,3 ,1 ,7 
Louisiana State University,4 ,3 ,1 ,3 ,0,2 ,0,1 ,1 ,1 ,3 ,0,2 ,2 ,1 ,1 ,2 ,1 ,0,4 ,2 ,1 ,1 ,0,0,0,1 ,0,0
"Georgia Institute of Tech., Atlanta",1 ,0,0,0,0,0,1 ,0,0,1 ,0,1 ,1 ,1 ,1 ,1 ,2 ,3 ,1 ,1 ,2 ,4 ,2 ,2 ,7 ,1 ,1 ,1 ,1 
"Alberta, University of (Canada)",1 ,0,0,0,0,0,1 ,1 ,0,3 ,3 ,1 ,0,2 ,3 ,0,0,0,4 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 
"Amsterdam, U. of (Netherlands)",0,0,0,1 ,1 ,0,0,2 ,0,0,1 ,1 ,1 ,1 ,0,3 ,3 ,1 ,2 ,2 ,2 ,4 ,1 ,1 ,2 ,2 ,1 ,0,3 
Bocconi University,0,0,0,1 ,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,0,1 ,0,3 ,10 ,2 ,4 ,2 ,5 ,5 
National University of Singapore,0,1 ,0,0,2 ,0,0,0,1 ,0,0,0,0,1 ,1 ,0,3 ,2 ,1 ,2 ,3 ,3 ,1 ,3 ,1 ,5 ,1 ,0,4 
Fordham University,0,0,0,0,0,3 ,2 ,0,0,0,0,2 ,0,4 ,2 ,0,0,0,0,1 ,3 ,3 ,3 ,0,4 ,2 ,3 ,1 ,1 
"New South Wales, U. of",0,0,0,0,0,0,0,1 ,0,1 ,0,0,0,0,0,0,1 ,0,0,0,1 ,3 ,1 ,3 ,3 ,11 ,1 ,1 ,7 
"Pittsburgh, University of",1 ,1 ,2 ,0,0,2 ,0,1 ,1 ,2 ,0,0,4 ,2 ,2 ,1 ,2 ,1 ,1 ,0,0,1 ,1 ,0,3 ,2 ,1 ,1 ,2 
"South Carolina, University of",1 ,0,1 ,0,1 ,0,0,0,1 ,0,0,0,1 ,0,5 ,1 ,0,4 ,3 ,3 ,0,4 ,1 ,2 ,0,0,3 ,2 ,1 
Tsinghua University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,3 ,1 ,1 ,2 ,1 ,0,5 ,6 ,5 ,5 ,1 
"Colorado, U. of - Boulder",0,1 ,0,0,2 ,0,0,2 ,0,3 ,2 ,0,0,0,1 ,3 ,1 ,1 ,2 ,2 ,0,0,0,1 ,1 ,0,1 ,4 ,3 
"Melbourne, University of ",0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,1 ,0,1 ,3 ,5 ,1 ,1 ,3 ,6 ,4 ,3 
"Miami, U. of - Miami",0,0,1 ,0,0,0,1 ,0,2 ,0,0,2 ,1 ,1 ,1 ,2 ,1 ,1 ,1 ,1 ,2 ,3 ,0,2 ,1 ,3 ,3 ,1 ,0
"Oklahoma, University of",1 ,2 ,1 ,2 ,1 ,0,1 ,0,0,2 ,0,0,0,0,1 ,1 ,2 ,0,1 ,0,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,0
Brigham Young University,0,1 ,0,1 ,0,0,1 ,0,0,0,0,0,1 ,3 ,1 ,0,4 ,2 ,0,1 ,2 ,2 ,1 ,3 ,2 ,0,2 ,2 ,0
"Lausanne, University of",0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,2 ,1 ,2 ,4 ,3 ,3 ,2 ,1 ,2 ,1 ,2 ,1 ,0,2 ,2 
"Mannheim, Universitat",0,0,0,1 ,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,0,0,3 ,2 ,1 ,1 ,4 ,1 ,6 ,4 ,4 
City University (Hong Kong),0,0,0,0,0,0,1 ,1 ,0,0,0,1 ,0,0,0,0,0,2 ,0,2 ,2 ,6 ,1 ,3 ,3 ,2 ,2 ,1 ,1 
Case Western Reserve University,1 ,0,0,0,1 ,2 ,0,1 ,0,1 ,2 ,0,0,2 ,2 ,3 ,2 ,0,1 ,4 ,1 ,1 ,1 ,1 ,0,1 ,0,0,0
Imperial College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,1 ,0,3 ,1 ,3 ,0,7 ,4 ,3 ,2 ,1 
"Delaware, U. of - Newark",3 ,0,0,0,0,0,0,0,0,0,0,0,3 ,3 ,2 ,1 ,0,2 ,2 ,1 ,1 ,2 ,0,1 ,0,0,0,4 ,1 
Drexel University,0,0,2 ,0,0,0,0,0,0,0,0,0,1 ,0,1 ,0,1 ,2 ,4 ,2 ,1 ,3 ,0,0,3 ,4 ,0,0,2 
"Missouri, U. of - Columbia",0,1 ,0,0,0,1 ,0,1 ,1 ,2 ,1 ,1 ,1 ,1 ,0,1 ,0,3 ,1 ,2 ,1 ,1 ,0,0,2 ,0,1 ,3 ,1 
Hebrew University (Israel),0,1 ,1 ,0,0,1 ,1 ,0,1 ,3 ,0,0,0,0,2 ,2 ,1 ,0,2 ,0,3 ,3 ,0,2 ,1 ,0,0,0,1 
Nova School of Business and Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,1 ,3 ,2 ,2 ,2 ,1 ,4 ,3 ,5 
State U. of New York (SUNY) - Buffalo,2 ,0,0,0,1 ,0,0,0,2 ,2 ,0,0,0,2 ,1 ,1 ,0,0,0,1 ,0,2 ,0,1 ,4 ,4 ,0,1 ,1 
Korea University,0,1 ,0,0,0,0,1 ,2 ,1 ,0,0,0,3 ,2 ,2 ,0,0,1 ,2 ,1 ,1 ,1 ,2 ,0,1 ,0,1 ,1 ,1 
Northeastern University,0,2 ,0,0,1 ,0,0,1 ,0,0,0,0,0,0,1 ,2 ,0,1 ,0,1 ,1 ,2 ,0,2 ,0,2 ,1 ,5 ,1 
Universitat Pompeu Fabra ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,2 ,3 ,0,0,1 ,1 ,3 ,3 ,3 ,0,4 ,1 ,1 
"Kentucky, U. of - Lexington",0,0,0,0,0,0,0,2 ,0,0,1 ,0,0,1 ,0,1 ,0,0,1 ,0,1 ,3 ,1 ,2 ,2 ,2 ,0,2 ,3 
DePaul University,1 ,1 ,1 ,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,2 ,4 ,2 ,0,0,0,2 ,3 ,3 ,0
George Mason University,0,0,0,1 ,0,1 ,0,1 ,0,1 ,1 ,0,0,0,1 ,1 ,0,2 ,1 ,3 ,2 ,0,0,2 ,0,0,1 ,1 ,2 
Temple University,1 ,0,1 ,1 ,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,3 ,1 ,0,0,1 ,3 ,4 ,1 ,0,1 ,3 
"Warwick, U. of - U.K.",0,0,0,0,0,0,0,1 ,0,0,1 ,0,0,0,0,0,1 ,0,1 ,1 ,0,1 ,4 ,1 ,4 ,1 ,0,2 ,3 
California Inst. Of Technology,0,1 ,0,0,1 ,1 ,0,0,1 ,1 ,0,1 ,0,0,0,0,1 ,0,1 ,0,3 ,1 ,0,1 ,1 ,2 ,1 ,0,3 
